ID,Nombre del Personaje,Número de Estrellas
1,Anteka,3
2,Baggi,3
3,Altaroth,3
4,Bnahabra,3
5,Bombadgy,3
6,Bullfango,3
7,Delex,3
8,Gajau,3
9,Gargwa,3
10,Izuchi,3
11,Jaggi,3
12,Jaggia,3
13,Jagras,3
14,Kelbi,3
15,Kestodon,3
16,Ludroth,3
17,Popo,3
18,Rachnoid,3
19,Remobra,3
20,Rhenoplos,3
21,Slagtoth,3
22,Wroggi,3
23,Uroktor,3
24,Zamite,3
25,Aknosom,4
26,Almudron,4
27,Anjanath,4
28,Arzuros,4
29,Barioth,4
30,Barroth,4
31,Bazelgeuse,4
32,Basarios,4
33,Bishaten,4
34,Chameleos,5
35,Diablos,4
36,Goss Harag,4
37,Great Baggi,4
38,Great Izuchi,4
39,Great Wroggi,4
40,Jyuratodus,4
41,Khezu,4
42,Kulu-Ya-Ku,4
43,Kushala Daora,5
44,Lagombi,4
45,Magnamalo,5
46,Muzutsune,5
47,Nargacuga,4
48,Pukei-Pukei,4
49,Rajang,5
50,Rakna-Kadaki,4
51,Rathalos,5
52,Rathian,4
53,Royal Ludroth,4
54,Somnacanth,4
55,Teostra,5
56,Tetranadon,4
57,Thunder Serpent Narwa,5
58,Narwa the Allmother,5
59,Tigrex,5
60,Tobi-Kadachi,4
61,Crimson Glow Valstrax,5
62,Volvidon,4
63,Wind Serpent Ibushi,5
64,Zinogre,4
65,Daimyo Hermitaur,4
66,Shogun Ceanataur,4
67,Garangolm,4
68,Lunagaron,4
69,Astalos,4
70,Seregios,4
71,Gore Magala,4
72,Espinas,4
73,Gaismagorm,4
74,Shagaru Magala,5
75,Malzeno,5
